beer_name,brewery_name,beer_type,simple_style,beer_abv,beer_ibu,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,brewery_country,brewery_city,brewery_state,week,month
Truth,Rhinegeist Brewery,IPA - American,American IPA,7.2,75,Rhinegeist Brewery,Cincinnati,OH,United States,39.1172,-84.5201,3.0,2015-10-06 20:04:06,United States,Cincinnati,OH,0,10
Hugh,Rhinegeist Brewery,Hefeweizen,Hefeweizen,5.4,10,Rhinegeist Brewery,Cincinnati,OH,United States,39.1172,-84.5201,3.5,2015-10-06 20:05:38,United States,Cincinnati,OH,0,10
Uncle,Rhinegeist Brewery,English Mild Ale,English Mild Ale,3.8,17,Rhinegeist Brewery,Cincinnati,OH,United States,39.1172,-84.5201,3.25,2015-10-06 20:06:24,United States,Cincinnati,OH,0,10
Rapunzel,Arcadia Brewing Company,Pale Wheat Ale - American,Pale Wheat Ale - American,5.8,65,Views on Vine,Clifton,OH,United States,39.1325,-84.5096,3.5,2015-10-09 22:05:40,United States,Kalamazoo,MI,0,10
Pilsner Urquell,Plzeňský Prazdroj,Pilsner - Czech,Pilsner,4.4,40,Views on Vine,Clifton,OH,United States,39.1325,-84.5096,2.75,2015-10-09 22:06:50,Czech Republic,Plzeň,Plzeň,0,10
Weihenstephaner Original,Bayerische Staatsbrauerei Weihenstephan,Lager - Helles,Lager - Helles,5.1,21,,,,,,,4.0,2015-10-09 22:11:22,Germany,85354 Freising,BY,0,10
White Rajah,The Brew Kettle,IPA - American,American IPA,6.8,70,DAAP School of Planning,Cincinnati,OH,United States,39.1345,-84.51899999999999,,2015-10-09 22:15:20,United States,Strongsville,OH,0,10
Edmund Fitzgerald,Great Lakes Brewing Company,Porter - American,Porter,5.8,37,DAAP School of Planning,Cincinnati,OH,United States,39.1345,-84.51899999999999,3.0,2015-10-09 22:15:50,United States,Cleveland,OH,0,10
"The Kimmie, The Yink and The Holy Gose Ale",Anderson Valley Brewing Company,Sour - Gose,Sour,4.2,8,DAAP School of Planning,Cincinnati,OH,United States,39.1345,-84.51899999999999,,2015-10-09 22:16:47,United States,Boonville,CA,0,10
Leffe Blonde / Blond,Abbaye de Leffe,Blonde Ale - Belgian Blonde / Golden,Blonde Ale,6.6,20,Views on Vine,Clifton,OH,United States,39.1325,-84.5096,3.5,2015-10-09 22:17:36,Belgium,Dinant,Namur,0,10
Best Brown Ale,Bell's Brewery,Brown Ale - American,Brown Ale,5.8,0,DAAP School of Planning,Cincinnati,OH,United States,39.1345,-84.51899999999999,3.75,2015-10-09 22:19:20,United States,Comstock,MI,0,10
