beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type
Truth,"Rhinegeist Brewery","IPA - American",7.2,75,"very hoppy","Rhinegeist Brewery",Cincinnati,OH,"United States",39.1172,-84.5201,3,"2015-10-06 20:04:06",https://untappd.com/c/232541746,https://untappd.com/beer/393430,https://untappd.com/brewery/69953,"United States",Cincinnati,OH,,,
Franz,"Rhinegeist Brewery",Märzen,5.4,20,,,,,,,,3.25,"2015-10-06 20:04:24",https://untappd.com/c/232541985,https://untappd.com/beer/454961,https://untappd.com/brewery/69953,"United States",Cincinnati,OH,,,
Hugh,"Rhinegeist Brewery",Hefeweizen,5.4,10,"Good hefe. Cloves and bananas","Rhinegeist Brewery",Cincinnati,OH,"United States",39.1172,-84.5201,3.5,"2015-10-06 20:05:38",https://untappd.com/c/232542512,https://untappd.com/beer/1230095,https://untappd.com/brewery/69953,"United States",Cincinnati,OH,,,
Uncle,"Rhinegeist Brewery","English Mild Ale",3.8,17,,"Rhinegeist Brewery",Cincinnati,OH,"United States",39.1172,-84.5201,3.25,"2015-10-06 20:06:24",https://untappd.com/c/232542664,https://untappd.com/beer/393439,https://untappd.com/brewery/69953,"United States",Cincinnati,OH,,,
Rapunzel,"Arcadia Brewing Company","Pale Wheat Ale - American",5.8,65,,"Views on Vine",Clifton,OH,"United States",39.1325,-84.5096,3.5,"2015-10-09 22:05:40",https://untappd.com/c/233480167,https://untappd.com/beer/63529,https://untappd.com/brewery/47,"United States",Kalamazoo,MI,,,
"Pilsner Urquell","Plzeňský Prazdroj","Pilsner - Czech",4.4,40,,"Views on Vine",Clifton,OH,"United States",39.1325,-84.5096,2.75,"2015-10-09 22:06:50",https://untappd.com/c/233481117,https://untappd.com/beer/37936,https://untappd.com/brewery/1459,"Czech Republic",Plzeň,,,,
"Weihenstephaner Original","Bayerische Staatsbrauerei Weihenstephan","Lager - Helles",5.1,21,"Floral/herb notes prevalent from noble hops",,,,,,,4,"2015-10-09 22:11:22",https://untappd.com/c/233484027,https://untappd.com/beer/2716,https://untappd.com/brewery/88,Germany,"85354 Freising",BY,,,
"IPA (India Pale Ale)","Arcadia Brewing Company","IPA - American",6,47,"Dry but very balanced, crisp, citrus notes. really like this beer","DAAP School of Planning",Cincinnati,OH,"United States",39.1345,-84.519,4.25,"2015-10-09 22:14:20",https://untappd.com/c/233485722,https://untappd.com/beer/16291,https://untappd.com/brewery/47,"United States",Kalamazoo,MI,,,
"White Rajah","The Brew Kettle","IPA - American",6.8,70,,"DAAP School of Planning",Cincinnati,OH,"United States",39.1345,-84.519,,"2015-10-09 22:15:20",https://untappd.com/c/233486435,https://untappd.com/beer/23046,https://untappd.com/brewery/2663,"United States",Strongsville,OH,,,
"Edmund Fitzgerald","Great Lakes Brewing Company","Porter - American",5.8,37,,"DAAP School of Planning",Cincinnati,OH,"United States",39.1345,-84.519,3,"2015-10-09 22:15:50",https://untappd.com/c/233486948,https://untappd.com/beer/12049,https://untappd.com/brewery/3125,"United States",Cleveland,OH,,,
